working_day,branch,start_time,end_time,subject,type
5WD,ME,10:00,11:00,CHEM(T)(SM),class
5WD,ME,11:00,12:00,PHY(T) (MHB),class
5WD,ME,12:00,13:00,MATH(T) (ML),class
5WD,ME,13:00,13:30,BREAK,break
5WD,ME,13:30,14:30,SPORTS AND YOGA,class
5WD,ME,14:30,15:30,SPORTS AND YOGA,class
6WD,BM,09:00,10:00,TUTORIAL,class
6WD,BM,10:00,11:00,CHEM(T) (SM),class
6WD,BM,11:00,12:00,ENG(SG),class
6WD,BM,12:00,13:00,MATH(T) (ML),class
6WD,BM,13:00,13:30,BREAK,break
6WD,BM,13:30,14:30,ENGINEERING GRAPHICS,class
6WD,BM,14:30,15:30,ENGINEERING GRAPHICS,class
6WD,CV,09:00,10:00,TUTORIAL,class
6WD,CV,10:00,11:00,PHY(MHB),class
6WD,CV,11:00,12:00,MATH (ML),class
6WD,CV,12:00,13:00,CHEM (SM),class
6WD,CV,13:00,13:30,BREAK,break
6WD,CV,13:30,14:30,CHLAB(C1)/ ENG LAB(C2),class
6WD,CV,14:30,15:30,CHLAB(C1)/ ENG LAB(C2),class
6WD,ME,09:00,10:00,MATH (US),class
6WD,ME,10:00,11:00,WORKSHOP PRACTICE,class
6WD,ME,11:00,12:00,WORKSHOP PRACTICE,class
6WD,ME,12:00,13:00,WORKSHOP PRACTICE,class
6WD,ME,13:00,13:30,BREAK,break
6WD,ME,13:30,14:30,PHY(MHB),class
6WD,ME,14:30,15:30,TUTORIAL,class
6WD,ME,15:30,16:30,TUTORIAL,class
